Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
UNOPS,24/12/2018,391,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"143,037"
UNOPS,24/12/2018,397,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"261,720"
HQSMS,23/12/2018,45403,Sunrise Communications AG,CHE,TELEPHONY EQUIPMENT/ SUPPLIES,"199,632"
SYR01,23/12/2018,5271,ALHOUDA SARL,LBN,CLOTHING,"232,600"
SYR01,23/12/2018,5275,ALKUSTY FOR TRADING COMPANY S.A.L,LBN,CLOTHING,"270,000"
SYR01,23/12/2018,5276,ALAMIN MEDICAL INSTRUMENTS CO.Ltd,SYR,MISC MEDICAL SUPPLIES,"375,905"
MEX01,22/12/2018,816,"TELSTRAT, S.A. DE C.V.",MEX,COMPUTERS,"159,201"
UGA01,22/12/2018,7324,PLANET PHARMACEUTICALS (U) LTD,UGA,MISC MEDICAL SUPPLIES,"127,597"
AFG01,21/12/2018,4870,CLEAN SOLAR ENERGY PRODUCTION COMPANY LT,AFG,SOLAR GENERATORS/ SUPPLIES,"386,618"
BFA01,21/12/2018,1023,ENTREPRISE KONFE ET FRERES,BFA,MAINTENANCE/ CONSTRUCTION SER,"103,471"
BGD01,21/12/2018,1766,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"121,261"
BGD01,21/12/2018,1767,ATEA,DNK,COMPUTERS,"101,052"
BGD01,21/12/2018,1769,ACI LIMITED,BGD,SOAP/CLEANING /HYGIENE SUPPLIE,"477,976"
CMR01,21/12/2018,5501,CLARK CORPORATION LTD,CMR,CONCRETE/ CEMENT/ PLASTER,"174,695"
COD01,21/12/2018,7746,ENGEN RDC,COD,DIESEL,"103,498"
ETH01,21/12/2018,7536,UNIVERSAL ELECTRONICS,ETH,SOLAR GENERATORS/ SUPPLIES,"382,001"
ETH01,21/12/2018,7538,TIWON CONSTRUCTION,ETH,MAINTENANCE/ CONSTRUCTION SER,"735,980"
ETH01,21/12/2018,7541,MACOM TRADING PLC,ETH,ROOFING MATERIAL,"187,425"
ETH01,21/12/2018,7546,CELLULAR TRADING PLC,ETH,WATER CANS,"141,213"
GRC01,21/12/2018,3243,GLASSART MULTISYSTEM HOUSING INDUSTRY SA,GRC,PREFABRICATED House,"3,931,741"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
GRC01,21/12/2018,3244,KUEHNE AND NAGEL AE METAFORWN,GRC,CARGO/PASSENGER TRANSPORT,"664,505"
GRC01,21/12/2018,3246,International Logistics Services s.a.l,LBN,PERSONAL CARE PRODUCTS,"489,681"
HQSMS,21/12/2018,45318,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"937,843"
HQSMS,21/12/2018,45321,WHO (UNICC),CHE,COMPUTER SERVICES,"119,915"
HQSMS,21/12/2018,45323,HCL Technologies Limited,IND,SOFTWARE,"520,020"
